Date (DD/MM/YYYY),Outlet Name (Do Not Edit),Supplier Name,Supplier Phone,Supplier Email,Supplier Address,Supplier City,Supplier State,Supplier Postal Code,Note,Order No.,Created By,Items Name (Do Not Edit),Variant Name (Do Not Edit),Category (Do Not Edit),SKU (Do Not Edit),In Stock (Do Not Edit),Order,Unit Cost,Total,Status
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,40,SEPATU SPORT,970100140,0,6,196323,1177938,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,41,SEPATU SPORT,970100141,0,8,196323,1570584,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,42,SEPATU SPORT,970100142,2,9,196323,1766907,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,43,SEPATU SPORT,970100143,1,5,196323,981615,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,44,SEPATU SPORT,970100144,0,3,196323,588969,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701001 MILLS SPORTAGE CL - BLACK/WHITE,45,SEPATU SPORT,970100145,0,1,196323,196323,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,37,SEPATU SPORT,970100237,0,2,196323,392646,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,38,SEPATU SPORT,970100238,0,4,196323,785292,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,39,SEPATU SPORT,970100239,1,9,196323,1766907,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,40,SEPATU SPORT,970100240,1,18,196323,3533814,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,41,SEPATU SPORT,970100241,0,19,196323,3730137,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,42,SEPATU SPORT,970100242,0,20,196323,3926460,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,43,SEPATU SPORT,970100243,1,12,196323,2355876,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,44,SEPATU SPORT,970100244,0,6,196323,1177938,Created
28/08/2024 14:11	,34360 - MALANG,,,,,,,,,#007526316,LOGISTIK MALANG,9701002 MILLS SPORTAGE CL - BLACK/GREY,45,SEPATU SPORT,970100245,0,3,196323,588969,Created
